day,flag_weekend,kd_armada,asal,tujuan,kapasitas,penumpang,waktu_keberangkatan,load_factor,urutan_keberangkatan
Sunday,1,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-01 03:30:00,42.10526315789473,1
Sunday,1,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-01 03:30:00,21.052631578947366,2
Sunday,1,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-01 05:30:00,36.84210526315789,3
Sunday,1,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-01 06:30:00,21.052631578947366,4
Sunday,1,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 06:30:00,57.89473684210527,5
Sunday,1,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-01 06:30:00,21.052631578947366,6
Sunday,1,ID-JK 2306,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 06:30:00,57.89473684210527,7
Sunday,1,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,17.0,2024-12-01 06:30:00,89.47368421052632,8
Sunday,1,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-01 06:30:00,26.31578947368421,9
Sunday,1,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-01 06:30:00,15.789473684210526,10
Sunday,1,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-01 06:30:00,36.84210526315789,11
Sunday,1,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,10.0,2024-12-01 06:30:00,52.63157894736842,12
Sunday,1,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,6.0,2024-12-01 08:30:00,31.57894736842105,13
Sunday,1,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-01 10:30:00,36.84210526315789,14
Sunday,1,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-01 11:00:00,68.42105263157895,15
Sunday,1,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,2.0,2024-12-01 14:00:00,10.526315789473683,16
Sunday,1,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,2.0,2024-12-01 14:00:00,10.526315789473683,17
Sunday,1,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 17:00:00,57.89473684210527,18
Sunday,1,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 17:00:00,57.89473684210527,19
Sunday,1,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 17:00:00,57.89473684210527,20
Sunday,1,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-01 17:00:00,26.31578947368421,21
Sunday,1,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-01 17:00:00,15.789473684210526,22
Sunday,1,ID-JK 2306,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-01 17:00:00,68.42105263157895,23
Sunday,1,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 17:00:00,57.89473684210527,24
Sunday,1,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,10.0,2024-12-01 17:00:00,52.63157894736842,25
Sunday,1,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-01 17:00:00,42.10526315789473,26
Sunday,1,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-01 17:00:00,68.42105263157895,27
Sunday,1,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-01 17:00:00,26.31578947368421,28
Sunday,1,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-01 17:00:00,15.789473684210526,29
Sunday,1,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 17:00:00,57.89473684210527,30
Sunday,1,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-01 21:30:00,5.263157894736842,31
Sunday,1,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-01 22:30:00,68.42105263157895,32
Sunday,1,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-01 22:30:00,21.052631578947366,33
Sunday,1,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-01 22:30:00,57.89473684210527,34
